"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C212","CAP0603N","2579.858mil","1212.496mil","2579.857mil","1181mil","2579.858mil","1181mil","T","90.00","0.1uF"
"C211","CAP0603N","2467mil","1212.496mil","2467mil","1181mil","2467mil","1181mil","T","90.00","0.1uF"
"C201","CAP0603N","3026mil","2003.504mil","3026mil","2035mil","3026mil","2035mil","T","270.00","0.1uF"
"U202","LQFP-48","2294.9mil","2277.3mil","2461mil","2169mil","2461mil","2169mil","T","180.00","STM32F030C8T6"
"L101","RES0603N","791mil","2610.535mil","791mil","2644mil","791mil","2643.999mil","T","270.00","0R"
"C122","CAP0603N","1670.493mil","2415.499mil","1638.997mil","2415.499mil","1638.997mil","2415.499mil","T","0.00","0.47uF"
"Y301","CX3225SB","987.787mil","629.473mil","1037mil","665.89mil","1037mil","665.89mil","T","180.00","26.6363"
"U403","SOT23-6","3115.474mil","438.756mil","3152.875mil","486mil","3152.876mil","486mil","T","180.00","AX3702"
"U402","SOT23-6","2601.756mil","989.402mil","2649mil","952mil","2649mil","952mil","T","90.00","AX3702"
"U401","SOT23-6","155.598mil","2244.756mil","193mil","2292mil","193mil","2292mil","T","180.00","AX3702"
"R403","RES0603N","153.629mil","1989mil","120.164mil","1989mil","120.164mil","1989mil","T","0.00","0R"
"R402","RES0603N","2322mil","991.371mil","2322mil","1024.836mil","2322mil","1024.836mil","T","270.00","0R"
"R401","RES0603N","3020mil","353.465mil","3020mil","320mil","3020mil","320mil","T","90.00","0R"
"Q301","SOT23-3N","1703.402mil","464.402mil","1666mil","427mil","1666mil","427mil","T","0.00","BSS123"
"D302","0603_LED","1938mil","480.5mil","1938mil","484mil","1938mil","514mil","T","270.00","blue-LED"
"D301","DO-214AC-B(UT)","3377.059mil","564.566mil","3413mil","590mil","3461.704mil","564.566mil","T","0.00","SS34"
"D204","0603_LED","1926.5mil","2003mil","1923mil","2003mil","1893mil","2003mil","T","0.00","blue-LED"
"D203","0603_LED","1926.5mil","2063mil","1923mil","2063mil","1893mil","2063mil","T","0.00","blue-LED"
"D202","SOT23-3N","3048.402mil","1036.402mil","3011mil","999mil","3011mil","999mil","T","0.00","BAT54C"
"C412","CAP0603N","114mil","2612.504mil","114mil","2644mil","114mil","2644mil","T","270.00","0.1uF"
"C411","1206C","254.118mil","2630mil","198mil","2630mil","198mil","2630mil","T","0.00","22uF/10V"
